week,week_start,market,sku,true_demand,observed_shipments,on_hand_start,was_censored,lost_units
0,2023-08-28,SG,PAD-REG,430,430,3105,0,0
1,2023-09-04,SG,PAD-REG,457,457,3130,0,0
2,2023-09-11,SG,PAD-REG,575,575,3178,0,0
3,2023-09-18,SG,PAD-REG,443,443,3158,0,0
4,2023-09-25,SG,PAD-REG,554,554,3192,0,0
5,2023-10-02,SG,PAD-REG,649,649,3145,0,0
6,2023-10-09,SG,PAD-REG,1119,1119,3051,0,0
7,2023-10-16,SG,PAD-REG,737,737,2623,0,0
8,2023-10-23,SG,PAD-REG,1136,1136,2651,0,0
9,2023-10-30,SG,PAD-REG,905,905,2425,0,0
10,2023-11-06,SG,PAD-REG,1452,1452,2495,0,0
11,2023-11-13,SG,PAD-REG,855,855,2100,0,0
12,2023-11-20,SG,PAD-REG,845,845,2332,0,0
13,2023-11-27,SG,PAD-REG,818,818,2501,0,0
14,2023-12-04,SG,PAD-REG,970,970,2676,0,0
15,2023-12-11,SG,PAD-REG,1914,1914,2578,0,0
16,2023-12-18,SG,PAD-REG,1289,1289,1801,0,0
17,2023-12-25,SG,PAD-REG,1119,1119,1759,0,0
18,2024-01-01,SG,PAD-REG,873,873,1963,0,0
19,2024-01-08,SG,PAD-REG,1265,1265,2389,0,0
20,2024-01-15,SG,PAD-REG,1721,1721,2261,0,0
21,2024-01-22,SG,PAD-REG,1262,1262,1784,0,0
22,2024-01-29,SG,PAD-REG,1535,1535,1802,0,0
23,2024-02-05,SG,PAD-REG,1097,1097,1713,0,0
24,2024-02-12,SG,PAD-REG,1056,1056,2020,0,0
25,2024-02-19,SG,PAD-REG,1021,1021,2201,0,0
26,2024-02-26,SG,PAD-REG,1144,1144,2358,0,0
27,2024-03-04,SG,PAD-REG,1797,1797,2293,0,0
28,2024-03-11,SG,PAD-REG,1508,1508,1751,0,0
29,2024-03-18,SG,PAD-REG,1552,1552,1610,0,0
30,2024-03-25,SG,PAD-REG,907,907,1558,0,0
31,2024-04-01,SG,PAD-REG,881,881,2092,0,0
32,2024-04-08,SG,PAD-REG,1112,1112,2423,0,0
33,2024-04-15,SG,PAD-REG,781,781,2424,0,0
34,2024-04-22,SG,PAD-REG,883,883,2564,0,0
35,2024-04-29,SG,PAD-REG,855,855,2595,0,0
36,2024-05-06,SG,PAD-REG,944,944,2648,0,0
