week,week_start,market,is_ramadan,is_ramadan_peak,is_cny,is_yearend
0,2023-08-28,SG,0,0,0,0
0,2023-08-28,MY,0,0,0,0
0,2023-08-28,ID,0,0,0,0
1,2023-09-04,SG,0,0,0,0
1,2023-09-04,MY,0,0,0,0
1,2023-09-04,ID,0,0,0,0
2,2023-09-11,SG,0,0,0,0
2,2023-09-11,MY,0,0,0,0
2,2023-09-11,ID,0,0,0,0
3,2023-09-18,SG,0,0,0,0
3,2023-09-18,MY,0,0,0,0
3,2023-09-18,ID,0,0,0,0
4,2023-09-25,SG,0,0,0,0
4,2023-09-25,MY,0,0,0,0
4,2023-09-25,ID,0,0,0,0
5,2023-10-02,SG,0,0,0,0
5,2023-10-02,MY,0,0,0,0
5,2023-10-02,ID,0,0,0,0
6,2023-10-09,SG,0,0,0,0
6,2023-10-09,MY,0,0,0,0
6,2023-10-09,ID,0,0,0,0
7,2023-10-16,SG,0,0,0,0
7,2023-10-16,MY,0,0,0,0
7,2023-10-16,ID,0,0,0,0
8,2023-10-23,SG,0,0,0,0
8,2023-10-23,MY,0,0,0,0
8,2023-10-23,ID,0,0,0,0
9,2023-10-30,SG,0,0,0,0
9,2023-10-30,MY,0,0,0,0
9,2023-10-30,ID,0,0,0,0
10,2023-11-06,SG,0,0,0,0
10,2023-11-06,MY,0,0,0,0
10,2023-11-06,ID,0,0,0,0
11,2023-11-13,SG,0,0,0,0
11,2023-11-13,MY,0,0,0,0
11,2023-11-13,ID,0,0,0,0
12,2023-11-20,SG,0,0,0,0
12,2023-11-20,MY,0,0,0,0
12,2023-11-20,ID,0,0,0,0
13,2023-11-27,SG,0,0,0,0
13,2023-11-27,MY,0,0,0,0
13,2023-11-27,ID,0,0,0,0
14,2023-12-04,SG,0,0,0,0
14,2023-12-04,MY,0,0,0,0
14,2023-12-04,ID,0,0,0,0
15,2023-12-11,SG,0,0,0,1
15,2023-12-11,MY,0,0,0,1
15,2023-12-11,ID,0,0,0,1
16,2023-12-18,SG,0,0,0,1
16,2023-12-18,MY,0,0,0,1
16,2023-12-18,ID,0,0,0,1
17,2023-12-25,SG,0,0,0,1
17,2023-12-25,MY,0,0,0,1
17,2023-12-25,ID,0,0,0,1
18,2024-01-01,SG,0,0,0,0
18,2024-01-01,MY,0,0,0,0
18,2024-01-01,ID,0,0,0,0
19,2024-01-08,SG,0,0,0,0
19,2024-01-08,MY,0,0,0,0
19,2024-01-08,ID,0,0,0,0
20,2024-01-15,SG,0,0,0,0
20,2024-01-15,MY,0,0,0,0
20,2024-01-15,ID,0,0,0,0
21,2024-01-22,SG,0,0,1,0
21,2024-01-22,MY,0,0,1,0
21,2024-01-22,ID,0,0,0,0
22,2024-01-29,SG,0,0,1,0
22,2024-01-29,MY,0,0,1,0
22,2024-01-29,ID,0,0,0,0
23,2024-02-05,SG,0,0,1,0
23,2024-02-05,MY,0,0,1,0
23,2024-02-05,ID,0,0,0,0
24,2024-02-12,SG,0,0,0,0
24,2024-02-12,MY,0,0,0,0
24,2024-02-12,ID,0,0,0,0
25,2024-02-19,SG,0,0,0,0
25,2024-02-19,MY,0,0,0,0
25,2024-02-19,ID,0,0,0,0
26,2024-02-26,SG,0,0,0,0
26,2024-02-26,MY,0,0,0,0
26,2024-02-26,ID,0,0,0,0
27,2024-03-04,SG,0,0,0,0
27,2024-03-04,MY,0,0,0,0
27,2024-03-04,ID,0,0,0,0
28,2024-03-11,SG,0,0,0,0
28,2024-03-11,MY,1,0,0,0
28,2024-03-11,ID,1,0,0,0
29,2024-03-18,SG,0,0,0,0
29,2024-03-18,MY,1,0,0,0
29,2024-03-18,ID,1,0,0,0
30,2024-03-25,SG,0,0,0,0
30,2024-03-25,MY,1,0,0,0
30,2024-03-25,ID,1,0,0,0
31,2024-04-01,SG,0,0,0,0
31,2024-04-01,MY,1,1,0,0
31,2024-04-01,ID,1,1,0,0
32,2024-04-08,SG,0,0,0,0
32,2024-04-08,MY,1,1,0,0
32,2024-04-08,ID,1,1,0,0
33,2024-04-15,SG,0,0,0,0
33,2024-04-15,MY,0,0,0,0
33,2024-04-15,ID,0,0,0,0
34,2024-04-22,SG,0,0,0,0
34,2024-04-22,MY,0,0,0,0
34,2024-04-22,ID,0,0,0,0
35,2024-04-29,SG,0,0,0,0
35,2024-04-29,MY,0,0,0,0
35,2024-04-29,ID,0,0,0,0
36,2024-05-06,SG,0,0,0,0
36,2024-05-06,MY,0,0,0,0
36,2024-05-06,ID,0,0,0,0
37,2024-05-13,SG,0,0,0,0
37,2024-05-13,MY,0,0,0,0
37,2024-05-13,ID,0,0,0,0
38,2024-05-20,SG,0,0,0,0
38,2024-05-20,MY,0,0,0,0
38,2024-05-20,ID,0,0,0,0
39,2024-05-27,SG,0,0,0,0
39,2024-05-27,MY,0,0,0,0
39,2024-05-27,ID,0,0,0,0
40,2024-06-03,SG,0,0,0,0
40,2024-06-03,MY,0,0,0,0
40,2024-06-03,ID,0,0,0,0
41,2024-06-10,SG,0,0,0,0
41,2024-06-10,MY,0,0,0,0
41,2024-06-10,ID,0,0,0,0
42,2024-06-17,SG,0,0,0,0
42,2024-06-17,MY,0,0,0,0
42,2024-06-17,ID,0,0,0,0
43,2024-06-24,SG,0,0,0,0
43,2024-06-24,MY,0,0,0,0
43,2024-06-24,ID,0,0,0,0
44,2024-07-01,SG,0,0,0,0
44,2024-07-01,MY,0,0,0,0
44,2024-07-01,ID,0,0,0,0
45,2024-07-08,SG,0,0,0,0
45,2024-07-08,MY,0,0,0,0
45,2024-07-08,ID,0,0,0,0
46,2024-07-15,SG,0,0,0,0
46,2024-07-15,MY,0,0,0,0
46,2024-07-15,ID,0,0,0,0
47,2024-07-22,SG,0,0,0,0
47,2024-07-22,MY,0,0,0,0
47,2024-07-22,ID,0,0,0,0
48,2024-07-29,SG,0,0,0,0
