week,market,sku,on_promo,discount_depth
0,SG,PAD-REG,0,0.0
0,SG,PAD-NGT,0,0.0
0,SG,PAD-LIN,0,0.0
0,SG,DIA-NB,1,0.15
0,MY,PAD-REG,0,0.0
0,MY,PAD-NGT,0,0.0
0,MY,PAD-LIN,0,0.0
0,MY,DIA-NB,0,0.0
0,ID,PAD-REG,0,0.0
0,ID,PAD-NGT,0,0.0
0,ID,PAD-LIN,0,0.0
0,ID,DIA-NB,0,0.0
1,SG,PAD-REG,0,0.0
1,SG,PAD-NGT,0,0.0
1,SG,PAD-LIN,0,0.0
1,SG,DIA-NB,0,0.0
1,MY,PAD-REG,0,0.0
1,MY,PAD-NGT,0,0.0
1,MY,PAD-LIN,0,0.0
1,MY,DIA-NB,0,0.0
1,ID,PAD-REG,0,0.0
1,ID,PAD-NGT,0,0.0
1,ID,PAD-LIN,0,0.0
1,ID,DIA-NB,0,0.0
2,SG,PAD-REG,1,0.1
2,SG,PAD-NGT,1,0.3
2,SG,PAD-LIN,1,0.2
2,SG,DIA-NB,1,0.2
2,MY,PAD-REG,1,0.1
2,MY,PAD-NGT,1,0.2
2,MY,PAD-LIN,1,0.3
2,MY,DIA-NB,1,0.3
2,ID,PAD-REG,1,0.3
2,ID,PAD-NGT,1,0.3
2,ID,PAD-LIN,1,0.1
2,ID,DIA-NB,1,0.3
3,SG,PAD-REG,0,0.0
3,SG,PAD-NGT,0,0.0
3,SG,PAD-LIN,0,0.0
3,SG,DIA-NB,0,0.0
3,MY,PAD-REG,0,0.0
3,MY,PAD-NGT,0,0.0
3,MY,PAD-LIN,0,0.0
3,MY,DIA-NB,0,0.0
3,ID,PAD-REG,0,0.0
3,ID,PAD-NGT,1,0.15
3,ID,PAD-LIN,0,0.0
3,ID,DIA-NB,0,0.0
4,SG,PAD-REG,0,0.0
4,SG,PAD-NGT,0,0.0
4,SG,PAD-LIN,0,0.0
4,SG,DIA-NB,0,0.0
4,MY,PAD-REG,1,0.15
4,MY,PAD-NGT,0,0.0
4,MY,PAD-LIN,0,0.0
4,MY,DIA-NB,0,0.0
4,ID,PAD-REG,1,0.1
4,ID,PAD-NGT,1,0.1
4,ID,PAD-LIN,0,0.0
4,ID,DIA-NB,0,0.0
5,SG,PAD-REG,0,0.0
5,SG,PAD-NGT,0,0.0
5,SG,PAD-LIN,0,0.0
5,SG,DIA-NB,1,0.3
5,MY,PAD-REG,0,0.0
5,MY,PAD-NGT,0,0.0
5,MY,PAD-LIN,0,0.0
5,MY,DIA-NB,0,0.0
5,ID,PAD-REG,0,0.0
5,ID,PAD-NGT,0,0.0
5,ID,PAD-LIN,0,0.0
5,ID,DIA-NB,0,0.0
6,SG,PAD-REG,1,0.2
6,SG,PAD-NGT,1,0.1
6,SG,PAD-LIN,1,0.15
6,SG,DIA-NB,1,0.3
6,MY,PAD-REG,1,0.2
6,MY,PAD-NGT,1,0.1
6,MY,PAD-LIN,1,0.2
6,MY,DIA-NB,1,0.1
6,ID,PAD-REG,1,0.2
6,ID,PAD-NGT,1,0.1
6,ID,PAD-LIN,1,0.15
6,ID,DIA-NB,1,0.15
7,SG,PAD-REG,0,0.0
7,SG,PAD-NGT,0,0.0
7,SG,PAD-LIN,0,0.0
7,SG,DIA-NB,0,0.0
7,MY,PAD-REG,0,0.0
7,MY,PAD-NGT,0,0.0
7,MY,PAD-LIN,0,0.0
7,MY,DIA-NB,0,0.0
7,ID,PAD-REG,0,0.0
7,ID,PAD-NGT,0,0.0
7,ID,PAD-LIN,0,0.0
7,ID,DIA-NB,0,0.0
8,SG,PAD-REG,1,0.1
8,SG,PAD-NGT,0,0.0
8,SG,PAD-LIN,0,0.0
8,SG,DIA-NB,0,0.0
8,MY,PAD-REG,0,0.0
8,MY,PAD-NGT,0,0.0
8,MY,PAD-LIN,0,0.0
8,MY,DIA-NB,0,0.0
8,ID,PAD-REG,0,0.0
8,ID,PAD-NGT,0,0.0
8,ID,PAD-LIN,0,0.0
8,ID,DIA-NB,0,0.0
9,SG,PAD-REG,0,0.0
9,SG,PAD-NGT,0,0.0
9,SG,PAD-LIN,0,0.0
9,SG,DIA-NB,0,0.0
9,MY,PAD-REG,0,0.0
9,MY,PAD-NGT,1,0.1
9,MY,PAD-LIN,0,0.0
9,MY,DIA-NB,0,0.0
9,ID,PAD-REG,0,0.0
9,ID,PAD-NGT,0,0.0
9,ID,PAD-LIN,0,0.0
9,ID,DIA-NB,0,0.0
10,SG,PAD-REG,1,0.3
10,SG,PAD-NGT,1,0.1
10,SG,PAD-LIN,1,0.2
10,SG,DIA-NB,1,0.3
10,MY,PAD-REG,1,0.15
10,MY,PAD-NGT,1,0.2
10,MY,PAD-LIN,1,0.1
10,MY,DIA-NB,1,0.1
10,ID,PAD-REG,1,0.1
10,ID,PAD-NGT,1,0.15
10,ID,PAD-LIN,1,0.2
10,ID,DIA-NB,1,0.1
11,SG,PAD-REG,1,0.1
11,SG,PAD-NGT,1,0.2
11,SG,PAD-LIN,1,0.15
11,SG,DIA-NB,1,0.1
11,MY,PAD-REG,1,0.1
11,MY,PAD-NGT,1,0.1
11,MY,PAD-LIN,1,0.2
11,MY,DIA-NB,1,0.1
11,ID,PAD-REG,1,0.3
11,ID,PAD-NGT,1,0.2
11,ID,PAD-LIN,1,0.15
11,ID,DIA-NB,1,0.2
12,SG,PAD-REG,0,0.0
12,SG,PAD-NGT,0,0.0
12,SG,PAD-LIN,0,0.0
12,SG,DIA-NB,0,0.0
12,MY,PAD-REG,0,0.0
12,MY,PAD-NGT,0,0.0
12,MY,PAD-LIN,0,0.0
12,MY,DIA-NB,0,0.0
12,ID,PAD-REG,0,0.0
12,ID,PAD-NGT,0,0.0
12,ID,PAD-LIN,0,0.0
12,ID,DIA-NB,0,0.0
13,SG,PAD-REG,0,0.0
13,SG,PAD-NGT,0,0.0
13,SG,PAD-LIN,0,0.0
13,SG,DIA-NB,0,0.0
13,MY,PAD-REG,0,0.0
13,MY,PAD-NGT,0,0.0
13,MY,PAD-LIN,1,0.15
13,MY,DIA-NB,0,0.0
13,ID,PAD-REG,0,0.0
13,ID,PAD-NGT,0,0.0
13,ID,PAD-LIN,0,0.0
13,ID,DIA-NB,0,0.0
14,SG,PAD-REG,0,0.0
14,SG,PAD-NGT,0,0.0
14,SG,PAD-LIN,0,0.0
14,SG,DIA-NB,0,0.0
14,MY,PAD-REG,0,0.0
14,MY,PAD-NGT,0,0.0
14,MY,PAD-LIN,0,0.0
14,MY,DIA-NB,0,0.0
14,ID,PAD-REG,0,0.0
14,ID,PAD-NGT,0,0.0
14,ID,PAD-LIN,0,0.0
14,ID,DIA-NB,0,0.0
15,SG,PAD-REG,1,0.3
15,SG,PAD-NGT,1,0.1
15,SG,PAD-LIN,1,0.3
15,SG,DIA-NB,1,0.2
15,MY,PAD-REG,1,0.15
15,MY,PAD-NGT,1,0.2
15,MY,PAD-LIN,1,0.2
15,MY,DIA-NB,1,0.2
